Year,Month,Product,Sub-product,Count
2014,2,Debt collection,I do not know,708
2014,2,Debt collection,Medical,330
2014,2,Debt collection,Mortgage,117
2014,2,Debt collection,Non-federal student loan,82
2014,2,Debt collection,"Other (i.e. phone, health club, etc.)",877
2014,2,Debt collection,Payday loan,289
2014,2,Money transfers,Domestic (US) money transfer,29
2014,2,Money transfers,International money transfer,52
2014,2,Mortgage,Conventional adjustable mortgage (ARM),471
2014,2,Mortgage,Conventional fixed mortgage,1213
2014,2,Mortgage,FHA mortgage,398
2014,2,Mortgage,Home equity loan or line of credit,154
2014,2,Mortgage,Other mortgage,1465
2014,2,Mortgage,Reverse mortgage,30
2014,2,Mortgage,Second mortgage,17
2014,2,Mortgage,VA mortgage,67
2014,2,"Payday loan, title loan, personal loan, or advance loan",(Blank),119
2014,2,Student loan,Non-federal student loan,345
2014,3,Bank account or service,(CD) Certificate of deposit,45
2014,3,Bank account or service,Cashing a check without an account,6
2014,3,Bank account or service,Checking account,833
2014,3,Bank account or service,Other bank product/service,307
2014,3,Bank account or service,Savings account,73
2014,3,Consumer Loan,Installment loan,65
2014,3,Consumer Loan,Personal line of credit,44
2014,3,Consumer Loan,Vehicle lease,32
2014,3,Consumer Loan,Vehicle loan,259
2014,3,Credit card or prepaid card,(Blank),1245
2014,3,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),2544
2014,3,Debt collection,Auto,96
2014,3,Debt collection,Credit card,852
